('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         788900 function calls (765638 primitive calls) in 1.997 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      196    0.000    0.000    0.000    0.000 typing.py:696(<genexpr>)
      153    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1598(_get_spec)
     3334    0.000    0.000    0.000    0.000 __init__.py:636(set_up_substitutions)
        1    0.000    0.000    0.000    0.000 charset.py:1(<module>)
     3334    0.000    0.000    0.000    0.000 __init__.py:290(can_be_empty_element)
       16    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
      913    0.000    0.000    0.000    0.000 typing.py:1097(_is_dunder)
      212    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
       57    0.000    0.000    0.000    0.000 parser.py:123(set_cdata_mode)
      212    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
        2    0.000    0.000    0.000    0.000 _collections.py:1(<module>)
     3218    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
     3436    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
     3696    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       64    0.000    0.000    0.000    0.000 typing.py:855(__init__)
      180    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
      258    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      212    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
       64    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
       84    0.000    0.000    0.000    0.000 typing_extensions.py:3228(_collect_parameters)
        1    0.000    0.000    0.000    0.000 _markupbase.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:436(PercentStyle)
     3822    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 dammit.py:98(EntitySubstitution)
    43/30    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
       75    0.000    0.000    0.000    0.000 css_parser.py:542(parse_tag_pattern)
      719    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
     4037    0.000    0.000    0.000    0.000 element.py:2788(descendants)
    43/30    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.000    0.000 _meta.py:1(<module>)
      142    0.000    0.000    0.000    0.000 css_parser.py:369(__init__)
      275    0.000    0.000    0.000    0.000 enum.py:698(__call__)
      153    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:815(spec_from_file_location)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       86    0.000    0.000    0.000    0.000 css_parser.py:812(parse_combinator)
     3333    0.000    0.000    0.000    0.000 _markupbase.py:36(getpos)
        3    0.000    0.000    0.000    0.000 typing.py:1155(__instancecheck__)
     2295    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
