('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         818726 function calls (794297 primitive calls) in 6.644 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.003    0.003 selectors.py:1(<module>)
      341    0.001    0.000    0.003    0.000 css_parser.py:1108(selector_iter)
    22933    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.003    0.003 cd.py:1(<module>)
       23    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1308(exec_module)
      989    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       23    0.003    0.000    0.003    0.000 {built-in method _imp.exec_dynamic}
     2511    0.002    0.000    0.003    0.000 __init__.py:91(_replace_charref)
      995    0.003    0.000    0.003    0.000 {built-in method posix.stat}
        1    0.003    0.003    0.003    0.003 models.py:909(text)
      230    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:416(__enter__)
    25594    0.003    0.000    0.003    0.000 _parser.py:232(__next)
    18247    0.003    0.000    0.003    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.003    0.003 client.py:224(_parse_header_lines)
        1    0.000    0.000    0.003    0.003 _htmlparser.py:1(<module>)
        1    0.000    0.000    0.003    0.003 parser.py:56(parsestr)
        1    0.000    0.000    0.002    0.002 pathlib.py:1(<module>)
    13283    0.002    0.000    0.002    0.000 _parser.py:248(match)
        2    0.000    0.000    0.002    0.001 cookies.py:124(extract_cookies_to_jar)
        1    0.000    0.000    0.002    0.002 packages.py:1(<module>)
     2632    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     3333    0.002    0.000    0.002    0.000 __init__.py:789(popTag)
    14317    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
      608    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1479(_path_importer_cache)
        2    0.000    0.000    0.002    0.001 abc.py:1(<module>)
        2    0.000    0.000    0.002    0.001 __init__.py:71(search_function)
       79    0.000    0.000    0.002    0.000 css_parser.py:472(parse_attribute_selector)
        9    0.000    0.000    0.002    0.000 _htmlparser.py:226(handle_charref)
        2    0.000    0.000    0.002    0.001 cookiejar.py:1680(extract_cookies)
       14    0.000    0.000    0.002    0.000 {method 'decode' of 'bytearray' objects}
      271    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:304(acquire)
    12820    0.002    0.000    0.002    0.000 _parser.py:159(__len__)
     4014    0.001    0.000    0.002    0.000 filter.py:725(match)
        1    0.000    0.000    0.002    0.002 typing_extensions.py:1(<module>)
      125    0.001    0.000    0.002    0.000 _compiler.py:463(_get_charset_prefix)
    18316    0.002    0.000    0.002    0.000 {method 'end' of 're.Match' objects}
        1    0.000    0.000    0.002    0.002 parser.py:41(parse)
        1    0.000    0.000    0.002    0.002 models.py:1(<module>)
        1    0.000    0.000    0.002    0.002 decoder.py:1(<module>)
       16    0.001    0.000    0.002    0.000 enum.py:1653(convert_class)
     3220    0.001    0.000    0.002    0.000 _htmlparser.py:222(handle_data)
      496    0.001    0.000    0.002    0.000 css_types.py:41(__init__)
       10    0.000    0.000    0.002    0.000 enum.py:891(_convert_)
    87/62    0.000    0.000    0.002    0.000 typing.py:481(__getitem__)
      197    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
    14732    0.002    0.000    0.002    0.000 {built-in method builtins.min}
     7496    0.001    0.000    0.002    0.000 _parser.py:171(append)
2607/2601    0.000    0.000    0.002    0.000 {built-in method builtins.getattr}
       14    0.000    0.000    0.002    0.000 hashlib.py:126(__get_openssl_constructor)
       97    0.002    0.000    0.002    0.000 {built-in method posix.getcwd}
      133    0.000    0.000    0.002    0.000 typing.py:1203(__init__)
        4    0.000    0.000    0.002    0.000 feedparser.py:173(feed)
        1    0.000    0.000    0.002    0.002 scanner.py:1(<module>)
  142/137    0.000    0.000    0.002    0.000 css_parser.py:395(freeze)
        1    0.000    0.000    0.002    0.002 socket.py:946(getaddrinfo)
       62    0.000    0.000    0.002    0.000 typing.py:660(Union)
        1    0.002    0.002    0.002    0.002 {built-in method _socket.getaddrinfo}
        1    0.000    0.000    0.002    0.002 bz2.py:1(<module>)
        1    0.000    0.000    0.002    0.002 parse.py:1(<module>)
      340    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:495(cache_from_source)
        1    0.000    0.000    0.002    0.002 css_types.py:1(<module>)
     1914    0.001    0.000    0.002    0.000 __init__.py:909(_linkage_fixer)
        1    0.000    0.000    0.002    0.002 base64mime.py:1(<module>)
        1    0.000    0.000    0.002    0.002 datetime.py:1(<module>)
        6    0.000    0.000    0.002    0.000 structures.py:40(__init__)
        2    0.000    0.000    0.002    0.001 cookiejar.py:1599(make_cookies)
        1    0.000    0.000    0.002    0.002 lzma.py:1(<module>)
        1    0.000    0.000    0.002    0.002 models.py:351(prepare)
        1    0.000    0.000    0.001    0.001 _common.py:1(<module>)
        8    0.000    0.000    0.001    0.000 <frozen _collections_abc>:974(update)
     2585    0.000    0.000    0.001    0.000 css_parser.py:317(match)
        2    0.000    0.000    0.001    0.001 hashlib.py:82(__get_builtin_constructor)
        9    0.000    0.000    0.001    0.000 types.py:334(__getattr__)
        1    0.000    0.000    0.001    0.001 csv.py:1(<module>)
      306    0.000    0.000    0.001    0.000 typing.py:169(_type_check)
       17    0.001    0.000    0.001    0.000 __init__.py:355(namedtuple)
        1    0.000    0.000    0.001    0.001 heapq.py:1(<module>)
     2626    0.001    0.000    0.001    0.000 {method 'findall' of 're.Pattern' objects}
        1    0.000    0.000    0.001    0.001 bisect.py:1(<module>)
        2    0.000    0.000    0.001    0.001 core.py:1(<module>)
6582/6514    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
      126    0.000    0.000    0.001    0.000 _markupbase.py:165(parse_comment)
        1    0.000    0.000    0.001    0.001 pretty.py:1(<module>)
        1    0.000    0.000    0.001    0.001 base64.py:1(<module>)
        6    0.000    0.000    0.001    0.000 typing.py:2704(__new__)
      363    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:632(cached)
        5    0.000    0.000    0.001    0.000 feedparser.py:178(_call_parse)
        7    0.000    0.000    0.001    0.000 typing.py:2685(_make_nmtuple)
        2    0.000    0.000    0.001    0.001 cookies.py:1(<module>)
        5    0.000    0.000    0.001    0.000 feedparser.py:218(_parsegen)
        1    0.000    0.000    0.001    0.001 core.py:21(where)
      193    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:624(_get_cached)
        1    0.000    0.000    0.001    0.001 sessions.py:390(__init__)
     3347    0.001    0.000    0.001    0.000 __init__.py:1068(handle_data)
