('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         818811 function calls (794398 primitive calls) in 1.765 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       75    0.000    0.000    0.000    0.000 css_parser.py:542(parse_tag_pattern)
     3822    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:775(MetadataPathFinder)
        1    0.000    0.000    0.000    0.000 _markupbase.py:1(<module>)
       15    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1466(_path_hooks)
       10    0.000    0.000    0.000    0.000 typing.py:1781(__new__)
      142    0.000    0.000    0.000    0.000 css_parser.py:369(__init__)
        1    0.000    0.000    0.000    0.000 dammit.py:98(EntitySubstitution)
       86    0.000    0.000    0.000    0.000 css_parser.py:812(parse_combinator)
     4037    0.000    0.000    0.000    0.000 element.py:2788(descendants)
      311    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
     1642    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      193    0.000    0.000    0.000    0.000 enum.py:1512(__and__)
        1    0.000    0.000    0.000    0.000 _meta.py:1(<module>)
        5    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 error.py:1(<module>)
